timestamp,qmi_timestamp,mav_timestamp,gps_status_timestamp,mavlink_age_ms,fc_time_boot_ms,gps_lat,gps_lon,altitude_msl_m,relative_altitude_m,ground_speed_mps,heading_deg,gps_fix_type,satellites_visible,fc_sysid,fc_armed,qmi_device,wan_interface,apn,packet_session,registration_state,cs_attach_state,ps_attach_state,radio_interfaces,mcc,mnc,cell_id,pci,lte_rssi_dbm,lte_rsrq_db,lte_rsrp_dbm,lte_snr_db,nr5g_rsrp_dbm,nr5g_rsrq_db,nr5g_snr_db,ipv4_address,gateway,dns1,dns2,mtu,utm_ping_status,utm_latency_ms
2026-09-23T15:47:04.010+05:30,2026-09-23T15:47:03.607+05:30,2026-09-23T15:47:03.480+05:30,2026-09-23T15:47:03.493+05:30,127.866,584775,19.1341908,72.9120318,42.17,1.176,0.01,12.32,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,6.0 dB,-64 dBm,-11 dB,16.0 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,73.921
2026-09-23T15:47:04.903+05:30,2026-09-23T15:47:04.512+05:30,2026-09-23T15:47:04.479+05:30,2026-09-23T15:47:04.494+05:30,32.774,585775,19.134191,72.9120318,42.2,1.209,0.01,12.45,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,6.0 dB,-64 dBm,-11 dB,19.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,73.921
2026-09-23T15:47:23.080+05:30,2026-09-23T15:47:22.332+05:30,2026-09-23T15:47:22.229+05:30,2026-09-23T15:47:22.243+05:30,103.388,603525,19.1341917,72.9120328,42.21,1.211,0.0,12.46,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,6.2 dB,-64 dBm,-11 dB,16.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,86.3
2026-09-23T15:47:23.975+05:30,2026-09-23T15:47:23.582+05:30,2026-09-23T15:47:23.479+05:30,2026-09-23T15:47:23.493+05:30,102.297,604775,19.1341917,72.9120328,42.2,1.203,0.01,12.21,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,5.8 dB,-64 dBm,-11 dB,14.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,86.3
2026-09-23T15:47:24.869+05:30,2026-09-23T15:47:24.477+05:30,2026-09-23T15:47:24.229+05:30,2026-09-23T15:47:24.242+05:30,248.376,605525,19.1341917,72.9120329,42.2,1.209,0.0,12.44,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,5.8 dB,-64 dBm,-11 dB,18.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,86.3
2026-09-23T15:47:25.764+05:30,2026-09-23T15:47:25.371+05:30,2026-09-23T15:47:25.228+05:30,2026-09-23T15:47:25.240+05:30,142.628,606525,19.1341918,72.9120329,42.21,1.216,0.01,12.24,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,5.8 dB,-64 dBm,-11 dB,18.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,77.666
2026-09-23T15:47:26.662+05:30,2026-09-23T15:47:26.265+05:30,2026-09-23T15:47:26.229+05:30,2026-09-23T15:47:26.242+05:30,36.276,607525,19.1341917,72.9120328,42.22,1.221,0.0,12.66,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,4.0 dB,-64 dBm,-11 dB,16.0 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,77.666
2026-09-23T15:47:27.557+05:30,2026-09-23T15:47:27.164+05:30,2026-09-23T15:47:26.979+05:30,2026-09-23T15:47:26.992+05:30,184.973,608275,19.1341917,72.9120327,42.21,1.219,0.0,12.64,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,4.0 dB,-64 dBm,-11 dB,15.5 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,77.666
2026-09-23T15:47:28.452+05:30,2026-09-23T15:47:28.059+05:30,2026-09-23T15:47:27.981+05:30,2026-09-23T15:47:27.994+05:30,77.234,609275,19.1341917,72.9120326,42.21,1.213,0.01,11.9,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,4.0 dB,-64 dBm,-11 dB,18.0 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,105.075
2026-09-23T15:47:29.349+05:30,2026-09-23T15:47:28.954+05:30,2026-09-23T15:47:28.730+05:30,2026-09-23T15:47:28.742+05:30,223.948,610025,19.1341917,72.9120326,42.22,1.222,0.02,12.54,4,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,231969045,332,-37 dBm,-12 dB,-65 dBm,6.6 dB,-64 dBm,-11 dB,16.0 dB,100.104.190.99,100.104.190.100,127.0.0.53,,1500,SUCCESS,105.075
