timestamp,qmi_timestamp,mav_timestamp,gps_status_timestamp,mavlink_age_ms,fc_time_boot_ms,gps_lat,gps_lon,altitude_msl_m,relative_altitude_m,ground_speed_mps,heading_deg,gps_fix_type,satellites_visible,fc_sysid,fc_armed,qmi_device,wan_interface,apn,packet_session,registration_state,cs_attach_state,ps_attach_state,radio_interfaces,mcc,mnc,cell_id,pci,lte_rssi_dbm,lte_rsrq_db,lte_rsrp_dbm,lte_snr_db,nr5g_rsrp_dbm,nr5g_rsrq_db,nr5g_snr_db,ipv4_address,gateway,dns1,dns2,mtu,utm_ping_status,utm_latency_ms
2026-09-23T16:45:14.815+05:30,2026-09-23T16:45:14.419+05:30,2026-09-23T16:45:14.209+05:30,2026-09-23T16:45:14.222+05:30,210.242,315029,19.1258585,72.9140213,44.5,0.019,0.0,279.01,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,57,-56 dBm,-15 dB,-84 dBm,-0.2 dB,-88 dBm,-11 dB,24.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,522.7049999999999
2026-09-23T16:45:15.710+05:30,2026-09-23T16:45:15.316+05:30,2026-09-23T16:45:15.209+05:30,2026-09-23T16:45:15.224+05:30,107.663,316029,19.1258587,72.9140215,44.5,0.012,0.03,279.42,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,57,-56 dBm,-15 dB,-84 dBm,-0.2 dB,-88 dBm,-11 dB,1.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,522.7049999999999
2026-09-23T16:45:16.605+05:30,2026-09-23T16:45:16.213+05:30,2026-09-23T16:45:16.208+05:30,2026-09-23T16:45:15.971+05:30,4.894,317029,19.1258589,72.9140218,44.51,0.028,0.022360679774997897,279.17,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,57,-56 dBm,-15 dB,-84 dBm,-0.2 dB,-75 dBm,-11 dB,22.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,331.81300000000005
2026-09-23T16:45:17.503+05:30,2026-09-23T16:45:17.107+05:30,2026-09-23T16:45:16.959+05:30,2026-09-23T16:45:16.973+05:30,147.413,317778,19.1258589,72.9140216,44.55,0.061,0.0,278.81,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,57,-56 dBm,-15 dB,-84 dBm,0.0 dB,-88 dBm,-11 dB,10.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,331.81300000000005
2026-09-23T16:45:18.397+05:30,2026-09-23T16:45:18.005+05:30,2026-09-23T16:45:17.958+05:30,2026-09-23T16:45:17.970+05:30,47.15,318779,19.125859,72.9140216,44.56,0.077,0.0,278.76,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,57,-56 dBm,-15 dB,-84 dBm,0.0 dB,-88 dBm,-11 dB,16.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,331.81300000000005
2026-09-23T16:45:24.957+05:30,2026-09-23T16:45:24.562+05:30,2026-09-23T16:45:24.457+05:30,2026-09-23T16:45:24.469+05:30,105.48,325279,19.1258593,72.9140211,44.55,0.021,0.0,278.85,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,38,-56 dBm,-15 dB,-84 dBm,0.6 dB,-88 dBm,-11 dB,17.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,128.909
2026-09-23T16:45:25.854+05:30,2026-09-23T16:45:25.460+05:30,2026-09-23T16:45:25.457+05:30,2026-09-23T16:45:25.219+05:30,2.762,326279,19.1258595,72.9140212,44.54,0.015,0.01414213562373095,278.82,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,38,-56 dBm,-15 dB,-84 dBm,0.6 dB,-88 dBm,-11 dB,16.0 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,128.909
2026-09-23T16:45:26.751+05:30,2026-09-23T16:45:26.355+05:30,2026-09-23T16:45:26.207+05:30,2026-09-23T16:45:26.219+05:30,148.644,327029,19.1258597,72.9140212,44.54,0.017,0.0,278.79,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,38,-56 dBm,-15 dB,-84 dBm,5.2 dB,-88 dBm,-11 dB,14.0 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,128.909
2026-09-23T16:45:27.833+05:30,2026-09-23T16:45:27.252+05:30,2026-09-23T16:45:27.207+05:30,2026-09-23T16:45:27.220+05:30,45.423,328029,19.1258596,72.9140214,44.54,0.017,0.01,278.77,3,32,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,38,-56 dBm,-15 dB,-84 dBm,5.2 dB,-88 dBm,-11 dB,13.5 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,105.896
2026-09-23T16:45:28.737+05:30,2026-09-23T16:45:28.335+05:30,2026-09-23T16:45:28.205+05:30,2026-09-23T16:45:28.216+05:30,129.222,329028,19.1258597,72.9140214,44.57,0.04,0.0,278.62,3,31,9,ARMED,/dev/cdc-wdm0,wwan_airtel,airtelgprs.com,CONNECTED,registered,,,1,404,92,230679063,38,-56 dBm,-15 dB,-84 dBm,5.2 dB,-88 dBm,-11 dB,14.0 dB,100.76.9.34,100.76.9.33,127.0.0.53,,1358,SUCCESS,105.896
